Postcode,Latitude,Longitude
B69 2AS,52.497752,-2.019871
RH10 3JF,51.141911,-0.113586
CF23 9AQ,51.499248,-3.146011
BB2 4BA,53.734815,-2.490917
PA15 4UQ,55.940303,-4.74718
SG6 1EX,51.98421,-0.219357
NN7 4PX,52.232989,-1.075726
TW20 8RZ,51.416763,-0.528811
HA9 8QD,51.566859,-0.304792
BS15 3JD,51.446032,-2.522006
LL60 6HU,53.225074,-4.288042
S42 5SA,53.186766,-1.350518
RM10 8PS,51.549204,0.156177
S75 1HS,53.569306,-1.51905
DL4 1QA,54.624215,-1.668807
HG5 8LF,54.00401,-1.448968
KY1 2QF,56.122231,-3.142677
SK23 7AJ,53.332247,-1.985575
DN2 4SE,53.543195,-1.078934
LS9 0SG,53.785606,-1.512041
FY6 8YX,53.8481854,-2.9913731
L5 7RD,53.426545,-2.988401
HD2 1AG,53.663227,-1.759753
BD21 5AJ,53.865112,-1.905674
YO41 4AU,53.924445,-0.96475
DE6 1HA,53.006785,-1.714195
S4 7UR,53.393206,-1.449095
HU7 0YQ,53.778629,-0.346684
NG8 4GA,52.958819,-1.226002
NG18 4LP,53.127209,-1.152412
L20 6PD,53.469249,-2.971135
S65 1SU,53.441538,-1.332611
RG24 8FW,51.276891,-1.064739
CT17 0HL,51.130409,1.282059
BH25 6TH,50.753163,-1.667825
RH12 3SB,51.116273,-0.331609
ME10 2PG,51.352226,0.737954
NP20 2JP,51.572432,-2.989022
S9 2LR,53.401574,-1.426005
EN3 7BB,51.649542,-0.035286
LU6 3QL,51.848262,-0.476073
SW19 8UG,51.435244,-0.191453
BN14 8NL,50.829096,-0.362841
NN8 4RQ,52.323209,-0.694339
WV14 9EE,52.535117,-2.08649
LE67 3HF,52.731253,-1.383671
BA20 2HL,50.93638,-2.659546
WS10 7TZ,52.564939,-2.034138
TN12 5HH,51.211576,0.395649
CT4 6RY,51.174798,1.210817
PO6 1RU,50.842375,-1.03461
PO6 3TF,50.845318,-1.084035
NR33 0PX,52.469411,1.741645
SN5 7UL,51.56507,-1.813735
PO19 8TX,50.832256,-0.79192
SP2 7LD,51.071324,-1.818563
BA13 4FG,51.26995,-2.205487
BH12 5HD,50.7514,-1.92956
BN26 6GP,50.822342,0.271361
NE4 7BP,54.962873,-1.634668
TN39 3LJ,50.842376,0.464333
SO40 3AD,50.918163,-1.483089
LS27 8TT,53.749074,-1.584889
PO9 1LR,50.853637,-0.993461
EX2 7HY,50.720169,-3.464744
IV1 1TF,57.483994,-4.224846
G5 8HX,55.846986,-4.262893
MK16 9AN,52.083996,-0.716299
KA8 8NJ,55.481263,-4.619875
TN24 0SH,51.132451,0.901701
IV30 1UU,57.644102,-3.300031
GL52 6QX,51.894996,-2.058605
B70 0DE,52.528412,-2.025805
TQ12 5UZ,50.516507,-3.597173
YO19 5EP,53.95574,-0.972967
BD21 1AQ,53.858043,-1.912075
SY23 3JQ,52.40188,-4.042948
HP12 3TS,51.620615,-0.775366
SL1 4SH,51.522519,-0.635895
SL6 0ND,51.524377,-0.673231
AB23 8EZ,57.185832,-2.09088
DG1 3JN,55.071267,-3.559909
SP10 3LF,51.216727,-1.516258
AB21 9NP,57.1769,-2.157925
EX2 7LL,50.720754,-3.473291
IP31 1SX,52.262148,0.712278
RM3 8SE,51.598409,0.220147
RG30 6HW,51.461534,-1.014596
SL6 2DP,51.493711,-0.687317
CO1 2TJ,51.88886,0.918857
NP19 4SU,51.567028,-2.947361
PE7 3WG,52.526213,-0.233893
RM3 0AP,51.591636,0.2183
CO10 1WH,52.051915,0.737247
SN4 7NP,45.8461648,8.0986933
BA11 4BG,51.221463,-2.329872
NR2 4TF,52.635216,1.285882
LL77 7XA,53.249388,-4.302351
WR12 7RR,52.058251,-1.850501
GL2 5DQ,51.838477,-2.266499
GL51 9NJ,51.920513,-2.095855
KY1 3NU,56.140139,-3.152301
CM1 3BH,51.721603,0.452603
CT3 4JZ,51.315983,1.173175
SS6 7UT,51.57731,0.605576
CM8 1ED,51.785458,0.619224
CM8 3PN,51.853265,0.62251
GL2 5YB,51.840258,-2.266788
CM8 3UJ,51.799586,0.648923
IP6 8NZ,52.148035,1.061162
BS5 9JD,51.458069,-2.563236
KY15 5RJ,56.308906,-3.035132
ML4 3LR,55.826048,-4.042756
LL11 4RE,53.06577,-3.002804
ST4 2ST,53.010656,-2.156735
DL15 8JN,54.705543,-1.75055
LS12 1DX,53.790929,-1.572018
