road_type,hour,count_date,all_motor_vehicles
motorway,7,2023-03-15,215.0
motorway,7,2023-03-20,718.0
motorway,7,2023-03-27,3526.285714285714
motorway,7,2023-03-29,3745.6
motorway,7,2023-04-17,2351.0
motorway,7,2023-04-18,3315.2272727272725
motorway,7,2023-04-19,3645.5
motorway,7,2023-04-20,3312.3333333333335
motorway,7,2023-04-21,2779.2727272727275
motorway,7,2023-04-24,4633.0
motorway,7,2023-04-25,3650.5833333333335
motorway,7,2023-04-26,3045.3
motorway,7,2023-04-27,4127.285714285715
motorway,7,2023-04-28,2571.6666666666665
motorway,7,2023-05-02,5740.0
motorway,7,2023-05-03,4616.5
motorway,7,2023-05-04,3297.0
motorway,7,2023-05-05,3374.625
motorway,7,2023-05-09,3058.25
motorway,7,2023-05-10,2868.0
motorway,7,2023-05-11,3480.5714285714284
motorway,7,2023-05-15,3810.1666666666665
motorway,7,2023-05-16,3820.0
motorway,7,2023-05-17,2941.5
motorway,7,2023-05-18,3184.1666666666665
motorway,7,2023-05-19,3695.5
motorway,7,2023-05-22,2851.6666666666665
motorway,7,2023-05-23,5141.25
motorway,7,2023-05-24,4146.166666666667
motorway,7,2023-05-25,5182.0
motorway,7,2023-05-26,4547.5
motorway,7,2023-06-05,3641.5
motorway,7,2023-06-06,4134.5
motorway,7,2023-06-07,4034.1111111111113
motorway,7,2023-06-09,3807.25
motorway,7,2023-06-12,3736.6666666666665
motorway,7,2023-06-13,5491.0
motorway,7,2023-06-14,4164.666666666667
motorway,7,2023-06-15,3049.6666666666665
motorway,7,2023-06-16,4109.2
motorway,7,2023-06-19,2932.75
motorway,7,2023-06-20,3745.25
motorway,7,2023-06-21,4018.8333333333335
motorway,7,2023-06-22,2804.1
motorway,7,2023-06-23,2820.25
motorway,7,2023-06-26,2477.5
motorway,7,2023-06-27,4537.166666666667
motorway,7,2023-06-28,3595.5
motorway,7,2023-06-30,1516.0
motorway,7,2023-07-03,4048.0
motorway,7,2023-07-04,3740.25
motorway,7,2023-07-05,3324.285714285714
motorway,7,2023-07-06,2898.0
motorway,7,2023-07-10,4446.5
motorway,7,2023-07-11,2127.0
motorway,7,2023-07-12,2898.1
motorway,7,2023-07-13,4044.6666666666665
motorway,7,2023-07-14,3995.375
motorway,7,2023-07-18,4542.0
motorway,7,2023-09-06,2756.5
motorway,7,2023-09-08,3685.1428571428573
motorway,7,2023-09-11,2160.3333333333335
motorway,7,2023-09-12,4077.3333333333335
motorway,7,2023-09-13,4485.0
motorway,7,2023-09-14,3334.0
motorway,7,2023-09-15,5064.0
motorway,7,2023-09-18,4714.0
motorway,7,2023-09-19,3875.5
motorway,7,2023-09-20,4174.875
motorway,7,2023-09-21,3110.75
motorway,7,2023-09-22,2943.8333333333335
motorway,7,2023-09-26,3431.5
motorway,7,2023-09-27,3477.75
motorway,7,2023-09-28,3571.785714285714
motorway,7,2023-09-29,3689.0833333333335
motorway,7,2023-10-03,3009.5
motorway,7,2023-10-06,3747.0
motorway,7,2023-10-09,2865.5
motorway,7,2023-10-10,3444.0
motorway,7,2023-10-11,1931.0
motorway,7,2023-10-12,4465.5
motorway,7,2023-10-17,5622.5
motorway,8,2023-03-15,212.0
motorway,8,2023-03-20,831.0
motorway,8,2023-03-27,3367.9285714285716
motorway,8,2023-03-29,3500.133333333333
motorway,8,2023-04-17,2338.0
