Postcode,Latitude,Longitude
CF23 9AQ,51.49999285,-3.145617175
WS10 7TZ,52.56494,-2.03414
S9 2LR,53.40156,-1.42601
B69 2AS,52.49775,-2.01987
TW20 8RZ,51.4167599,-0.52883
LE67 3HF,52.73124,-1.38368
NP20 2JP,51.57235,-2.98896
PA15 4UQ,55.9403327,-4.74669025
RH10 3JF,51.14191,-0.11359
SG6 1EX,51.9848124,-0.2197733
WV14 9EE,52.5351,-2.0865
HA9 8QD,51.56686,-0.30479
NN7 4PX,52.232505425,-1.07443495
BB2 4BA,53.7348,-2.49092
KY1 2QF,56.1220679,-3.1426263
BS15 3JD,51.4460366,-2.5219932
RM10 8PS,51.5492,0.15618
LL60 6HU,53.22506,-4.28804
EN3 7BB,51.6495296,-0.0352835
LS9 0SG,53.7850009,-1.5135357
S42 5SA,53.18677,-1.35052
LU6 3QL,51.84825,-0.4761
S75 1HS,53.5670108,-1.519278
SW19 8UG,51.43404402,-0.19116198
SK23 7AJ,53.33225,-1.98558
DL4 1QA,54.6238765,-1.6687534800000001
BD21 5AJ,53.8651,-1.90567
HD2 1AG,53.6632773,-1.7591729
L5 7RD,53.4271932,-2.9884049
PO6 3TF,50.8453629,-1.0839043
NR33 0PX,52.4719123,1.7405736
L20 6PD,53.46925,-2.97113
S4 7UR,53.393759,-1.4478412
DN2 4SE,53.5432,-1.07893
CT4 6RY,51.17479,1.21079
ME10 2PG,51.3507383,0.7358131
S65 1SU,53.44026446666667,-1.3383853555555556
HU7 0YQ,53.77861,-0.34668
NG8 4GA,29.271438,102.9375181
DE6 1HA,53.00618755,-1.7168136
NN8 4RQ,52.32270404285714,-0.6937617714285714
HG5 8LF,54.00401,-1.44897
NG18 4LP,53.1277266,-1.1528506
BN14 8NL,50.8290999,-0.36287
SO40 3AD,50.91810916666667,-1.4828255333333333
PO19 8TX,50.831966875,-0.79026265
TN12 5HH,51.21158,0.39562
RH12 3SB,51.11628,-0.33164
BN26 6GP,50.8220166,0.2720132
RG24 8FW,51.2768612,-1.0647057
TN39 3LJ,50.84176970833333,0.4641089416666667
PO6 1RU,50.842355925,-1.03729855
NE4 7BP,54.9629481,-1.634369
BA20 2HL,50.93639,-2.6595399
BH12 5HD,50.7516061,-1.9292491
EX2 7HY,50.7203945,-3.464713725
SN5 7UL,51.56507,-1.81375
YO41 4AU,53.9258636,-0.9664982
G5 8HX,55.84699,-4.2628899
CT17 0HL,51.1312799,1.27986
IV30 1UU,57.64513727999999,-3.29972012
LS27 8TT,53.7503238,-1.5841287
WR12 7RR,52.05825,-1.8505
