local_authority_id,local_authority_name,local_authority_code,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
1,Isles of Scilly,E06000053,2023,34.19,21.24,8.00E+05,1400000
2,Nottinghamshire,E10000024,2023,4494.42,2792.7,3.60E+09,4814100000
3,Glasgow City,S12000049,2023,1928.54,1198.34,1.72E+09,2218700000
4,North Lanarkshire,S12000050,2023,1774.36,1102.54,1552300000,2102900000
5,Somerset,E06000066,2023,6798.01,4224.09,3429200000,4511100000
6,Newport,W06000022,2023,764.56,475.08,931200000,1219900000
7,Bridgend,W06000013,2023,815.59,506.78,683200000,860300000
8,Swansea,W06000011,2023,1171.78,728.11,900400000,1117600000
9,Isle of Anglesey,W06000001,2023,1216.1,755.65,302100000,405300000
10,Gwynedd,W06000002,2023,2511.62,1560.65,641200000,853100000
11,Conwy,W06000003,2023,1650.39,1025.5,607800000,792200000
12,Denbighshire,W06000004,2023,1441.57,895.75,427900000,563800000
13,Monmouthshire,W06000021,2023,1631.87,1014,7.00E+08,947200000
14,Powys,W06000023,2023,5348.09,3323.15,708200000,1005200000
15,Carmarthenshire,W06000010,2023,3573.65,2220.56,928600000,1267600000
16,Pembrokeshire,W06000009,2023,2603.31,1617.62,511500000,701600000
17,Neath Port Talbot,W06000012,2023,878.89,546.12,665500000,858400000
18,The Vale of Glamorgan,W06000014,2023,947.63,588.83,545600000,674100000
19,Cardiff,W06000015,2023,1109.07,689.14,1592400000,1961400000
20,Flintshire,W06000005,2023,1292.85,803.34,839400000,1083100000
21,Merthyr Tydfil,W06000024,2023,347.15,215.71,221900000,277400000
22,"Rhondda, Cynon, Taff",W06000016,2023,1213.76,754.2,1.08E+09,1356400000
23,Ceredigion,W06000008,2023,2260.17,1404.4,335400000,469100000
24,Blaenau Gwent,W06000019,2023,420.92,261.55,202900000,255600000
25,Torfaen,W06000020,2023,485.07,301.41,350200000,430800000
26,Wrexham,W06000006,2023,1215.68,755.39,513500000,6.69E+08
27,West Lothian,S12000040,2023,1210.98,752.47,8.65E+08,1179300000
28,Renfrewshire,S12000038,2023,989.37,614.77,787700000,1004100000
29,City of Edinburgh,S12000036,2023,1588.26,986.9,1452500000,1888700000
30,Falkirk,S12000014,2023,976.89,607.01,744100000,9.93E+08
31,Perth & Kinross,S12000048,2023,2910.73,1808.64,1099600000,1562800000
32,Fife,S12000047,2023,2810.74,1746.51,1431400000,1886300000
33,Scottish Borders,S12000026,2023,3259.31,2025.24,5.53E+08,779400000
34,East Lothian,S12000010,2023,1129.04,701.55,476800000,637400000
35,Highland,S12000017,2023,8010.22,4977.32,1345500000,1916100000
36,Midlothian,S12000019,2023,711.69,442.22,322600000,4.26E+08
37,South Lanarkshire,S12000029,2023,2570.98,1597.53,1212200000,1766400000
38,Dumfries & Galloway,S12000006,2023,4658.68,2894.77,899300000,1400500000
39,East Ayrshire,S12000008,2023,1338.61,831.77,5.15E+08,713100000
40,South Ayrshire,S12000028,2023,1325.96,823.91,4.81E+08,654600000
41,North Ayrshire,S12000021,2023,1163.45,722.93,383200000,495600000
42,Stirling,S12000030,2023,1195.87,743.08,594200000,795700000
43,West Dunbartonshire,S12000039,2023,426.94,265.29,333500000,417700000
44,Argyll & Bute,S12000035,2023,2699.12,1677.16,424100000,595800000
45,Aberdeenshire,S12000034,2023,6271.63,3897.01,1422400000,1974500000
46,Moray,S12000020,2023,1777.2,1104.3,358500000,5.08E+08
47,Dundee City,S12000042,2023,619.5,384.94,424800000,529900000
48,Inverclyde,S12000018,2023,422.25,262.37,262200000,325400000
49,East Dunbartonshire,S12000045,2023,557.66,346.51,276600000,348900000
50,Clackmannanshire,S12000005,2023,315.03,195.75,163600000,210800000
51,Aberdeen City,S12000033,2023,1066.43,662.65,752200000,9.50E+08
52,Angus,S12000041,2023,1936.59,1203.34,497400000,696100000
53,Comhairle nan Eilean Siar,S12000013,2023,1274.43,791.89,9.70E+07,138300000
54,Orkney Islands,S12000023,2023,1044.07,648.76,59600000,90500000
55,Shetland Islands,S12000027,2023,1033.56,642.22,94600000,139800000
56,Stockport,E08000007,2023,988.11,613.98,993800000,1224700000
57,Barnet,E09000003,2023,765.91,475.91,802500000,1035200000
58,Central Bedfordshire,E06000056,2023,1477.5,918.08,1575800000,2153700000
60,Leicestershire,E10000018,2023,4707.37,2925.02,3839200000,5218400000
61,Derbyshire,E10000007,2023,5673.39,3525.28,4100500000,5418700000
62,Rotherham,E08000018,2023,1191.67,740.47,1159800000,1576200000
63,Leeds,E08000035,2023,2938.5,1825.9,3202900000,4162400000
64,Medway,E06000035,2023,859.81,534.26,662300000,851200000
65,Hampshire,E10000014,2023,9076.2,5639.69,7.33E+09,9.47E+09
66,Hillingdon,E09000017,2023,728.18,452.47,1150700000,1436300000
67,West Berkshire,E06000037,2023,1387.7,862.28,1.36E+09,1805500000
68,Wiltshire,E06000054,2023,4675.62,2905.3,2837100000,3724100000
69,Worcestershire,E10000034,2023,4277.79,2658.1,3382500000,4472200000
70,Gloucestershire,E10000013,2023,5625.12,3495.29,3325900000,4342400000
71,Devon,E10000008,2023,13017.97,8088.99,4436600000,5875900000
72,Warwickshire,E10000031,2023,4330.69,2690.97,4.51E+09,6075700000
73,East Cheshire,E06000049,2023,2753.7,1711.07,2198800000,2.96E+09
74,Warrington,E06000007,2023,1008.94,626.93,1.28E+09,1.72E+09
75,Wigan,E08000010,2023,1179.06,732.63,948800000,1.22E+09
76,Lancashire,E10000017,2023,7098.67,4410.91,5531300000,7166900000
78,Hertfordshire,E10000015,2023,5003.36,3108.94,5569800000,7358300000
79,Doncaster,E08000017,2023,1690.01,1050.12,1536500000,2151300000
80,Kent,E10000016,2023,9367.6,5820.76,6936600000,9383400000
81,West Sussex,E10000032,2023,4142.22,2573.86,3336600000,4264500000
82,Portsmouth,E06000044,2023,457.23,284.11,602100000,755800000
83,Buckinghamshire,E06000060,2023,3365.7,2091.35,3121700000,4022100000
84,Wirral,E08000015,2023,1218.35,757.05,903100000,1099900000
85,Manchester,E08000003,2023,1406.77,874.13,1382500000,1677800000
86,Bury,E08000002,2023,602.46,374.35,781600000,1018800000
87,Calderdale,E08000033,2023,1152.15,715.91,709700000,943400000
88,Wakefield,E08000036,2023,1492.45,927.37,1382800000,1868700000
89,East Riding of Yorkshire,E06000011,2023,3495.82,2172.2,1701300000,2301300000
90,Salford,E08000006,2023,816.45,507.32,1071500000,1427800000
91,Trafford,E08000009,2023,822.67,511.18,790500000,969100000
92,Durham,E06000047,2023,3850.46,2392.56,2091600000,2791700000
93,Tower Hamlets,E09000030,2023,296.15,184.02,3.69E+08,5.13E+08
94,Sunderland,E08000024,2023,1187.36,737.79,867300000,1086700000
95,Rochdale,E08000005,2023,789.98,490.87,819500000,1112200000
96,Islington,E09000019,2023,236.53,146.97,155700000,225500000
97,Cambridgeshire,E10000003,2023,4670.78,2902.29,3699400000,5108400000
98,Rutland,E06000017,2023,559.61,347.73,3.09E+08,425900000
99,Lincolnshire,E10000019,2023,8943.8,5557.42,3.14E+09,4272200000
100,North Yorkshire,E06000065,2023,8732.13,5425.89,3929400000,5384700000
101,Gateshead,E08000037,2023,912.94,567.27,8.54E+08,1080500000
102,Northumberland,E06000057,2023,4995.41,3104,1554800000,2043100000
103,Southwark,E09000028,2023,392.64,243.98,3.07E+08,430100000
104,Lewisham,E09000023,2023,433.71,269.49,330800000,445200000
105,Greenwich,E09000011,2023,517.91,321.81,563400000,7.43E+08
106,Bexley,E09000004,2023,550.32,341.95,483500000,618400000
107,Lambeth,E09000022,2023,383.53,238.31,322900000,458300000
108,Wandsworth,E09000032,2023,430.16,267.29,332800000,452600000
109,Westminster,E09000033,2023,335.76,208.63,300800000,448300000
110,Kensington and Chelsea,E09000020,2023,213.9,132.91,212500000,306500000
111,Hounslow,E09000018,2023,499.8,310.56,815800000,1016600000
112,Slough,E06000039,2023,323.71,201.14,365800000,461900000
113,Wokingham,E06000041,2023,812.95,505.14,779700000,9.85E+08
114,Reading,E06000038,2023,397.39,246.93,288700000,353400000
115,Bath and North East Somerset,E06000022,2023,1092.36,678.76,584200000,742500000
116,Shropshire,E06000051,2023,5182.43,3220.21,1562800000,2135300000
117,Staffordshire,E10000028,2023,6304.82,3917.63,4414800000,5976600000
118,Brent,E09000005,2023,463.96,288.29,467700000,602500000
119,Derby,E06000015,2023,780.99,485.28,1006200000,1195800000
120,Luton,E06000032,2023,468.79,291.29,4.03E+08,506500000
121,Enfield,E09000010,2023,634.88,394.5,805400000,1114400000
122,Hackney,E09000012,2023,270.43,168.04,194300000,271900000
123,Essex,E10000012,2023,8346.91,5186.53,7205100000,9685500000
124,Redbridge,E09000026,2023,536.74,333.51,556300000,7.14E+08
125,Waltham Forest,E09000031,2023,421.62,261.98,373800000,490800000
126,Suffolk,E10000029,2023,6756.98,4198.59,3019700000,4104700000
127,Southend-on-Sea,E06000033,2023,458.04,284.61,327800000,397700000
128,Thurrock,E06000034,2023,603.43,374.95,788400000,1113600000
129,Peterborough,E06000031,2023,997.13,619.59,920600000,1190100000
130,North Lincolnshire,E06000013,2023,1428.34,887.53,779400000,1139900000
131,North East Lincolnshire,E06000012,2023,647.9,402.59,473600000,602700000
132,Hartlepool,E06000001,2023,411.94,255.97,323400000,411400000
133,East Sussex,E10000011,2023,3364.64,2090.69,2016200000,2600800000
134,Croydon,E09000008,2023,773.75,480.79,653700000,829800000
135,Surrey,E10000030,2023,5486.2,3408.97,6499700000,8448300000
136,Brighton and Hove,E06000043,2023,619.82,385.14,589200000,753500000
137,Southampton,E06000045,2023,593.52,368.8,482900000,603400000
139,Cornwall ,E06000052,2023,7459.73,4635.26,2608800000,3486500000
140,Stoke-on-Trent,E06000021,2023,884.54,549.63,683600000,852300000
141,Birmingham,E08000025,2023,2577.6,1601.65,2949100000,3617600000
142,Oxfordshire,E10000025,2023,4727.1,2937.28,3561700000,4674300000
143,South Gloucestershire,E06000025,2023,1569.22,975.07,1958700000,2617300000
144,"Bristol, City of",E06000023,2023,1149.28,714.13,1132400000,1420800000
145,Camden,E09000007,2023,277.21,172.25,194700000,273800000
146,Hammersmith and Fulham,E09000013,2023,220.05,136.73,212700000,299600000
147,Ealing,E09000009,2023,589.32,366.19,606800000,785700000
148,West Cheshire,E06000050,2023,2307.62,1433.89,1922500000,2507300000
149,Wolverhampton,E08000031,2023,743.86,462.21,571900000,706900000
150,Walsall,E08000030,2023,880.24,546.96,749300000,997400000
151,Solihull,E08000029,2023,878.8,546.06,1124500000,1439100000
152,Coventry,E08000026,2023,895.38,556.36,982600000,1202800000
153,Leicester,E06000016,2023,834.73,518.68,839200000,1011900000
154,Norfolk,E10000020,2023,9951.9,6183.82,4104700000,5408600000
155,"Herefordshire, County of",E06000019,2023,3344.82,2078.37,880100000,1221800000
156,Halton,E06000006,2023,598.95,372.17,495600000,6.34E+08
157,Knowsley,E08000011,2023,601.48,373.74,770500000,9.89E+08
158,St. Helens,E08000013,2023,745.87,463.46,636300000,843800000
159,Sheffield,E08000019,2023,1971.13,1224.8,1366800000,1741900000
160,Bolton,E08000001,2023,1002.28,622.79,1036700000,1299200000
161,Liverpool,E08000012,2023,1431.13,889.26,1104600000,1346900000
162,Oldham,E08000004,2023,832.16,517.08,585600000,726100000
163,Stockton-on-Tees,E06000004,2023,862.2,535.75,720200000,906600000
164,Darlington,E06000005,2023,559.5,347.66,408900000,525600000
165,Haringey,E09000014,2023,353.91,219.91,234300000,318100000
166,South Tyneside,E08000023,2023,572.61,355.8,410700000,511500000
167,Newham,E09000025,2023,429.96,267.16,418800000,5.54E+08
