Postcode,Latitude,Longitude
BS15 3JD,51.446032,-2.522006
NP20 2JP,51.572432,-2.989022
NP19 4SU,51.567028,-2.947361
GL2 5DQ,51.838477,-2.266499
GL2 5YB,51.840258,-2.266788
BS5 9JD,51.458069,-2.563236
BS34 7QS,51.511962,-2.582044
BS34 6QB,51.523842,-2.570894
BS10 7TU,51.520952,-2.619415
BS22 8NA,51.343964,-2.944252
GL2 5DB,51.845237,-2.262822
BS2 0PX,51.449308,-2.576455
BS30 8XJ,51.457703,-2.474874
NP19 4SL,51.572028,-2.948388
GL1 2RN,51.868344,-2.254911
BS23 3YX,51.342267,-2.957196
BS32 4QD,51.5472,-2.563716
BS11 0YA,51.522567,-2.685844
BS5 6NJ,51.469256,-2.566585
BS48 1JJ,51.438221,-2.752899
BS11 8DX,51.501013,-2.678504
